mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04971976280212402,0.014078564684461023,0.03037867546081543,0.004426645198567789,100.0,0.1,scale,"{'svr__C': 100, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}",-300.7881857722665,-544.8905351962383,-1833.8474234149558,-1449.2733542045155,-408.18899539931334,-907.3976987974578,616.52805170081,32
0.063789701461792,0.015603474075449755,0.03442378044128418,0.006620434111815097,100.0,0.2,scale,"{'svr__C': 100, 'svr__epsilon': 0.2, 'svr__gamma': 'scale'}",-300.8127904965353,-544.9206410412186,-1833.8491566978548,-1449.2523659451551,-408.2294639840171,-907.4128836329562,616.5099476938619,33
0.05235986709594727,0.015474468696944986,0.036496305465698244,0.00619311814848445,100.0,0.5,scale,"{'svr__C': 100, 'svr__epsilon': 0.5, 'svr__gamma': 'scale'}",-300.88677911951737,-544.9816794944095,-1833.8383267287666,-1449.2501340259219,-408.3505189659626,-907.4614876669154,616.4649597071179,34
0.055423307418823245,0.024131198229654732,0.0355628490447998,0.011516248775136875,100.0,1.0,scale,"{'svr__C': 100, 'svr__epsilon': 1.0, 'svr__gamma': 'scale'}",-301.0103200442674,-545.0803390855415,-1833.8202742481874,-1449.279291477564,-408.54288684527774,-907.5466223401676,616.3975962910316,35
0.06641430854797363,0.013000749982358187,0.047890233993530276,0.008313964260683303,100.0,1.0,0.1,"{'svr__C': 100, 'svr__epsilon': 1.0, 'svr__gamma': 0.1}",-313.46487276162594,-534.8429735300884,-1829.465640717091,-1465.1621438920547,-399.03834473252016,-908.3947951266761,618.2698363577862,36
0.06364579200744629,0.006788942040414014,0.05042610168457031,0.00773741572220001,100.0,0.5,0.1,"{'svr__C': 100, 'svr__epsilon': 0.5, 'svr__gamma': 0.1}",-313.5067104802802,-534.8988786747298,-1829.4438657509297,-1465.1735671829235,-399.0846981733026,-908.4215440524333,618.2429612461318,37
0.0671173095703125,0.020023226533562945,0.03995561599731445,0.010711767204576846,100.0,0.2,0.1,"{'svr__C': 100, 'svr__epsilon': 0.2, 'svr__gamma': 0.1}",-313.5319195278957,-534.9361272905417,-1829.4326445953866,-1465.1804027746207,-399.11279161745216,-908.4387771611794,618.2268677130913,38
0.0494379997253418,0.009545880907420598,0.02875809669494629,0.001958790524557812,100.0,0.1,0.1,"{'svr__C': 100, 'svr__epsilon': 0.1, 'svr__gamma': 0.1}",-313.54037502885126,-534.948552866728,-1829.428885875539,-1465.1826556640408,-399.1221448520699,-908.4445228574459,618.221483755594,39
0.05487613677978516,0.011609738374464058,0.04299163818359375,0.015171785267305248,100.0,0.01,0.1,"{'svr__C': 100, 'svr__epsilon': 0.01, 'svr__gamma': 0.1}",-313.54802102011314,-534.9597786105159,-1829.425527489734,-1465.1847343138654,-399.13061143452666,-908.4497345737511,618.2166345647181,40
0.05470466613769531,0.015092733139247957,0.05010666847229004,0.017750527339325455,100.0,0.1,0.01,"{'svr__C': 100, 'svr__epsilon': 0.1, 'svr__gamma': 0.01}",-301.6296141371461,-551.4995249121197,-1848.0646336009588,-1462.3327445586572,-423.5244728797297,-917.4101980177223,619.6866495046329,41
